order_id,order_date,region,country,product,category,quantity,unit_price,discount,revenue,customer_segment,channel,sales_rep,returned
SO-102993,2023-01-06,LATAM,Brazil,Quill Notebook A4,Stationery,1,16,0,13.6,Consumer,Online,D. Rossi,false
SO-103043,2023-01-06,NA,Mexico,Desk Mat Linen,Desk,1,34,0.05,27.46,Small Business,Online,B. Lindqvist,false
SO-103097,2023-01-06,APAC,Australia,Sticky Notes Pastel,Stationery,1,5.5,0,4.68,Small Business,Retail,A. Okafor,false
SO-104518,2023-01-06,APAC,India,Monitor Riser Oak,Desk,1,64,0.05,51.68,Consumer,Online,C. Nakamura,false
SO-104543,2023-01-06,MEA,United Arab Emirates,Quill Notebook A5,Stationery,3,12.5,0.1,28.69,Small Business,Retail,G. Patel,false
SO-105852,2023-01-06,MEA,United Arab Emirates,Desk Mat Linen,Desk,3,34,0,86.7,Consumer,Online,B. Lindqvist,false
SO-101027,2023-01-07,LATAM,Brazil,Sticky Notes Pastel,Stationery,2,5.5,0,9.35,Consumer,Online,B. Lindqvist,false
SO-101278,2023-01-07,APAC,Singapore,Fountain Pen Brass,Writing,1,79,0.1,60.44,Small Business,Online,D. Rossi,false
SO-101291,2023-01-07,MEA,Kenya,Leather Journal Cover,Accessories,1,42,0,35.7,Small Business,Retail,G. Patel,false
SO-102712,2023-01-07,LATAM,Brazil,Quill Notebook A4,Stationery,1,16,0,13.6,Consumer,Retail,B. Lindqvist,false
SO-102970,2023-01-07,LATAM,Brazil,Ink Bottle Sepia 50ml,Ink,1,18,0,15.3,Consumer,Online,E. Haddad,false
SO-104884,2023-01-07,APAC,India,Ink Bottle Sepia 50ml,Ink,3,18,0,45.9,Consumer,Wholesale,F. Moreau,false
SO-105159,2023-01-07,APAC,Australia,Pen Stand Walnut,Desk,1,29,0,24.65,Consumer,Online,B. Lindqvist,false
SO-105715,2023-01-07,APAC,Australia,Fountain Pen Brass,Writing,10,79,0,671.5,Enterprise,Retail,G. Patel,false
SO-105921,2023-01-07,MEA,United Arab Emirates,Sticky Notes Pastel,Stationery,5,5.5,0,23.38,Small Business,Online,H. Silva,false
SO-100343,2023-01-08,EU,France,Calligraphy Starter Kit,Writing,1,58,0.05,46.83,Consumer,Online,A. Okafor,false
SO-100536,2023-01-08,APAC,India,Ink Bottle Sepia 50ml,Ink,1,18,0,15.3,Small Business,Retail,B. Lindqvist,false
SO-101699,2023-01-08,APAC,India,Planner 2024,Stationery,1,24,0,20.4,Consumer,Retail,B. Lindqvist,false
SO-101861,2023-01-08,NA,Canada,Pen Case Canvas,Accessories,2,22,0.05,35.53,Consumer,Retail,F. Moreau,false
SO-102037,2023-01-08,NA,Canada,Pen Stand Walnut,Desk,5,29,0.05,117.09,Consumer,Online,G. Patel,false
SO-102108,2023-01-08,EU,France,Quill Notebook A4,Stationery,1,16,0,13.6,Small Business,Retail,F. Moreau,false
SO-103312,2023-01-08,LATAM,Argentina,Planner 2024,Stationery,2,24,0,40.8,Consumer,Online,C. Nakamura,false
SO-104953,2023-01-08,EU,Germany,Pen Stand Walnut,Desk,1,29,0.05,23.42,Small Business,Online,F. Moreau,false
SO-101782,2023-01-09,APAC,Singapore,Quill Notebook A4,Stationery,1,16,0,13.6,Enterprise,Retail,F. Moreau,false
SO-103589,2023-01-09,APAC,Australia,Leather Journal Cover,Accessories,3,42,0.1,96.39,Consumer,Retail,C. Nakamura,false
SO-104431,2023-01-09,EU,United Kingdom,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Consumer,Online,G. Patel,true
SO-104875,2023-01-09,LATAM,Argentina,Gel Pen 5-pack,Writing,1,9.9,0.2,6.73,Small Business,Retail,H. Silva,false
SO-105895,2023-01-09,APAC,India,Gel Pen 5-pack,Writing,2,9.9,0.05,15.99,Consumer,Online,D. Rossi,false
SO-100358,2023-01-10,MEA,United Arab Emirates,Ink Bottle Sepia 50ml,Ink,10,18,0,153,Consumer,Online,F. Moreau,false
SO-100360,2023-01-10,NA,Canada,Pen Case Canvas,Accessories,1,22,0,18.7,Small Business,Online,C. Nakamura,false
SO-102051,2023-01-10,LATAM,Chile,Pen Stand Walnut,Desk,2,29,0,49.3,Small Business,Online,H. Silva,false
SO-102672,2023-01-10,LATAM,Chile,Pen Case Canvas,Accessories,5,22,0,93.5,Consumer,Retail,H. Silva,false
SO-103647,2023-01-10,APAC,Australia,Calligraphy Starter Kit,Writing,3,58,0,147.9,Consumer,Online,C. Nakamura,false
SO-103730,2023-01-10,EU,Germany,Fountain Pen Brass,Writing,5,79,0.05,318.96,Small Business,Online,B. Lindqvist,false
SO-104677,2023-01-10,LATAM,Brazil,Sticky Notes Pastel,Stationery,2,5.5,0.05,8.88,Small Business,Online,E. Haddad,false
SO-104887,2023-01-10,APAC,India,Fountain Pen Brass,Writing,1,79,0.1,60.44,Small Business,Online,C. Nakamura,false
SO-104906,2023-01-10,APAC,Australia,Monitor Riser Oak,Desk,3,64,0,163.2,Small Business,Online,C. Nakamura,false
SO-102050,2023-01-11,NA,Canada,Pen Stand Walnut,Desk,3,29,0,73.95,Small Business,Online,C. Nakamura,false
SO-103895,2023-01-11,EU,France,Gel Pen 5-pack,Writing,2,9.9,0,16.83,Consumer,Wholesale,G. Patel,false
SO-104188,2023-01-11,EU,France,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Consumer,Online,E. Haddad,false
SO-104522,2023-01-11,NA,Mexico,Gel Pen 5-pack,Writing,2,9.9,0,16.83,Consumer,Retail,A. Okafor,false
SO-105636,2023-01-11,LATAM,Brazil,Planner 2024,Stationery,1,24,0.1,18.36,Small Business,Wholesale,A. Okafor,true
SO-100391,2023-01-12,LATAM,Brazil,Monitor Riser Oak,Desk,2,64,0,108.8,Consumer,Wholesale,B. Lindqvist,false
SO-101344,2023-01-12,NA,United States,Fountain Pen Classic,Writing,2,48,0.05,77.52,Small Business,Retail,E. Haddad,false
SO-101631,2023-01-12,LATAM,Chile,Leather Journal Cover,Accessories,2,42,0,71.4,Enterprise,Online,F. Moreau,false
SO-102121,2023-01-12,LATAM,Brazil,Sticky Notes Pastel,Stationery,1,5.5,0,4.68,Consumer,Wholesale,H. Silva,true
SO-104670,2023-01-12,EU,Netherlands,Quill Notebook A4,Stationery,2,16,0.05,25.84,Small Business,Online,A. Okafor,false
SO-105072,2023-01-12,APAC,Japan,Desk Mat Linen,Desk,2,34,0.05,54.91,Consumer,Retail,B. Lindqvist,false
SO-105318,2023-01-12,NA,Mexico,Sticky Notes Pastel,Stationery,1,5.5,0.05,4.44,Small Business,Online,F. Moreau,false
SO-105423,2023-01-12,EU,Germany,Quill Notebook A5,Stationery,1,12.5,0,10.63,Small Business,Online,H. Silva,false
SO-105875,2023-01-12,MEA,Kenya,Quill Notebook A5,Stationery,1,12.5,0.1,9.56,Enterprise,Wholesale,F. Moreau,true
SO-100329,2023-01-13,MEA,United Arab Emirates,Sticky Notes Pastel,Stationery,1,5.5,0,4.68,Consumer,Online,D. Rossi,false
SO-100880,2023-01-13,MEA,United Arab Emirates,Planner 2024,Stationery,2,24,0,40.8,Small Business,Online,C. Nakamura,false
SO-101575,2023-01-13,NA,United States,Quill Notebook A4,Stationery,2,16,0,27.2,Consumer,Online,E. Haddad,false
SO-101770,2023-01-13,LATAM,Argentina,Desk Mat Linen,Desk,1,34,0,28.9,Small Business,Online,G. Patel,false
SO-102216,2023-01-13,LATAM,Chile,Ink Cartridge Midnight,Ink,1,6.5,0.1,4.97,Consumer,Online,B. Lindqvist,false
SO-104222,2023-01-13,MEA,United Arab Emirates,Quill Notebook A4,Stationery,2,16,0,27.2,Consumer,Retail,G. Patel,false
SO-104278,2023-01-13,EU,France,Leather Journal Cover,Accessories,1,42,0,35.7,Small Business,Online,F. Moreau,false
SO-104315,2023-01-13,EU,France,Fountain Pen Classic,Writing,2,48,0.05,77.52,Small Business,Online,B. Lindqvist,false
SO-105563,2023-01-13,APAC,Japan,Gel Pen 5-pack,Writing,1,9.9,0.1,7.57,Consumer,Wholesale,G. Patel,false
SO-100664,2023-01-14,LATAM,Chile,Desk Mat Linen,Desk,3,34,0.2,69.36,Small Business,Retail,D. Rossi,false
SO-101610,2023-01-14,NA,Canada,Calligraphy Starter Kit,Writing,1,58,0,49.3,Small Business,Online,F. Moreau,false
SO-101721,2023-01-14,EU,France,Gel Pen 5-pack,Writing,2,9.9,0.1,15.15,Consumer,Online,D. Rossi,false
SO-102100,2023-01-14,NA,Canada,Ink Bottle Sepia 50ml,Ink,1,18,0,15.3,Consumer,Online,H. Silva,false
SO-102902,2023-01-14,EU,United Kingdom,Desk Mat Linen,Desk,5,34,0.05,137.28,Consumer,Online,B. Lindqvist,false
SO-103413,2023-01-14,APAC,Singapore,Ink Bottle Sepia 50ml,Ink,5,18,0.1,68.85,Consumer,Retail,G. Patel,false
SO-103464,2023-01-14,APAC,India,Quill Notebook A5,Stationery,2,12.5,0,21.25,Consumer,Online,G. Patel,false
SO-104127,2023-01-14,APAC,Japan,Gel Pen 5-pack,Writing,2,9.9,0,16.83,Consumer,Retail,E. Haddad,false
SO-104173,2023-01-14,NA,Mexico,Quill Notebook A5,Stationery,3,12.5,0.05,30.28,Consumer,Wholesale,D. Rossi,false
SO-105582,2023-01-14,LATAM,Brazil,Quill Notebook A4,Stationery,2,16,0.05,25.84,Consumer,Online,D. Rossi,false
SO-101355,2023-01-15,MEA,South Africa,Quill Notebook A5,Stationery,2,12.5,0.05,20.19,Small Business,Online,D. Rossi,false
SO-102892,2023-01-15,MEA,United Arab Emirates,Quill Notebook A4,Stationery,1,16,0,13.6,Consumer,Online,H. Silva,false
SO-103799,2023-01-15,LATAM,Chile,Desk Mat Linen,Desk,3,34,0.05,82.37,Small Business,Retail,D. Rossi,false
SO-104248,2023-01-15,EU,France,Ink Bottle Sepia 50ml,Ink,3,18,0,45.9,Small Business,Retail,F. Moreau,false
SO-104552,2023-01-15,EU,United Kingdom,Ink Bottle Sepia 50ml,Ink,1,18,0,15.3,Small Business,Retail,B. Lindqvist,false
SO-104644,2023-01-15,MEA,Kenya,Calligraphy Starter Kit,Writing,1,58,0,49.3,Consumer,Online,B. Lindqvist,false
SO-104865,2023-01-15,APAC,Australia,Quill Notebook A5,Stationery,1,12.5,0.1,9.56,Consumer,Online,A. Okafor,false
SO-105728,2023-01-15,APAC,Singapore,Quill Notebook A4,Stationery,3,16,0.05,38.76,Small Business,Online,F. Moreau,false
SO-100486,2023-01-16,EU,Netherlands,Monitor Riser Oak,Desk,3,64,0.05,155.04,Consumer,Wholesale,A. Okafor,false
SO-100583,2023-01-16,EU,Germany,Monitor Riser Oak,Desk,1,64,0,54.4,Small Business,Online,H. Silva,false
SO-101168,2023-01-16,LATAM,Argentina,Quill Notebook A5,Stationery,2,12.5,0.05,20.19,Small Business,Online,D. Rossi,false
SO-102204,2023-01-16,APAC,Singapore,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Small Business,Retail,C. Nakamura,false
SO-103322,2023-01-16,MEA,Kenya,Ink Cartridge Midnight,Ink,3,6.5,0.05,15.75,Small Business,Retail,B. Lindqvist,false
SO-105178,2023-01-16,EU,Germany,Sticky Notes Pastel,Stationery,3,5.5,0,14.03,Consumer,Online,B. Lindqvist,false
SO-100627,2023-01-17,EU,Netherlands,Quill Notebook A4,Stationery,3,16,0.05,38.76,Consumer,Retail,D. Rossi,false
SO-100792,2023-01-17,NA,Canada,Planner 2024,Stationery,1,24,0,20.4,Consumer,Retail,H. Silva,true
SO-101620,2023-01-17,LATAM,Argentina,Leather Journal Cover,Accessories,2,42,0,71.4,Enterprise,Retail,F. Moreau,false
SO-103150,2023-01-17,LATAM,Argentina,Planner 2024,Stationery,1,24,0.1,18.36,Consumer,Online,H. Silva,false
SO-103565,2023-01-17,MEA,Kenya,Quill Notebook A5,Stationery,2,12.5,0,21.25,Consumer,Online,B. Lindqvist,false
SO-103653,2023-01-17,MEA,United Arab Emirates,Leather Journal Cover,Accessories,2,42,0.05,67.83,Consumer,Online,G. Patel,false
SO-104048,2023-01-17,NA,Mexico,Pen Case Canvas,Accessories,5,22,0,93.5,Small Business,Retail,H. Silva,false
SO-105108,2023-01-17,APAC,Singapore,Monitor Riser Oak,Desk,1,64,0,54.4,Consumer,Retail,F. Moreau,false
SO-105810,2023-01-17,APAC,Japan,Quill Notebook A4,Stationery,3,16,0.2,32.64,Consumer,Online,G. Patel,true
SO-103294,2023-01-18,APAC,India,Planner 2024,Stationery,1,24,0,20.4,Small Business,Online,C. Nakamura,false
SO-103685,2023-01-18,LATAM,Argentina,Sticky Notes Pastel,Stationery,3,5.5,0,14.03,Small Business,Online,F. Moreau,false
SO-103939,2023-01-18,MEA,Kenya,Pen Stand Walnut,Desk,2,29,0.05,46.83,Consumer,Online,B. Lindqvist,false
SO-104701,2023-01-18,APAC,Japan,Fountain Pen Brass,Writing,5,79,0,335.75,Small Business,Online,E. Haddad,false
SO-105445,2023-01-18,NA,Canada,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Consumer,Online,B. Lindqvist,false
SO-105569,2023-01-18,LATAM,Argentina,Calligraphy Starter Kit,Writing,1,58,0.05,46.83,Consumer,Online,D. Rossi,false
SO-100164,2023-01-19,MEA,South Africa,Ink Bottle Sepia 50ml,Ink,1,18,0.2,12.24,Consumer,Online,D. Rossi,true
SO-100237,2023-01-19,EU,Netherlands,Quill Notebook A4,Stationery,2,16,0.05,25.84,Small Business,Online,G. Patel,false
SO-100359,2023-01-19,NA,Canada,Planner 2024,Stationery,2,24,0.05,38.76,Consumer,Retail,E. Haddad,false
SO-101087,2023-01-19,MEA,South Africa,Fountain Pen Brass,Writing,10,79,0,671.5,Consumer,Online,D. Rossi,true
SO-101532,2023-01-19,APAC,Singapore,Quill Notebook A5,Stationery,1,12.5,0,10.63,Consumer,Online,H. Silva,false
SO-101768,2023-01-19,NA,Mexico,Ink Bottle Sepia 50ml,Ink,2,18,0,30.6,Small Business,Online,A. Okafor,false
SO-102038,2023-01-19,EU,France,Quill Notebook A5,Stationery,1,12.5,0,10.63,Consumer,Wholesale,H. Silva,false
SO-102628,2023-01-19,APAC,India,Planner 2024,Stationery,2,24,0.05,38.76,Enterprise,Retail,A. Okafor,false
SO-103149,2023-01-19,LATAM,Argentina,Desk Mat Linen,Desk,1,34,0,28.9,Small Business,Online,A. Okafor,false
SO-103444,2023-01-19,APAC,Australia,Desk Mat Linen,Desk,3,34,0,86.7,Consumer,Wholesale,B. Lindqvist,false
SO-103879,2023-01-19,NA,Canada,Ink Bottle Sepia 50ml,Ink,2,18,0,30.6,Small Business,Online,D. Rossi,false
SO-104475,2023-01-19,MEA,South Africa,Desk Mat Linen,Desk,2,34,0.1,52.02,Consumer,Online,B. Lindqvist,false
SO-104544,2023-01-19,APAC,Singapore,Pen Case Canvas,Accessories,1,22,0.1,16.83,Consumer,Retail,F. Moreau,false
SO-105310,2023-01-19,LATAM,Chile,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Small Business,Retail,H. Silva,false
SO-100073,2023-01-20,LATAM,Chile,Desk Mat Linen,Desk,1,34,0,28.9,Consumer,Online,G. Patel,false
SO-101695,2023-01-20,APAC,Australia,Quill Notebook A5,Stationery,2,12.5,0,21.25,Consumer,Online,H. Silva,false
SO-101895,2023-01-20,LATAM,Brazil,Quill Notebook A5,Stationery,1,12.5,0,10.63,Small Business,Retail,C. Nakamura,true
SO-102754,2023-01-20,MEA,South Africa,Quill Notebook A5,Stationery,3,12.5,0.1,28.69,Small Business,Retail,E. Haddad,false
SO-103201,2023-01-20,LATAM,Brazil,Monitor Riser Oak,Desk,3,64,0,163.2,Small Business,Retail,D. Rossi,false
SO-103291,2023-01-20,NA,Canada,Sticky Notes Pastel,Stationery,2,5.5,0.05,8.88,Consumer,Online,B. Lindqvist,false
SO-104195,2023-01-20,NA,Mexico,Fountain Pen Classic,Writing,2,48,0,81.6,Consumer,Retail,H. Silva,false
SO-105536,2023-01-20,MEA,United Arab Emirates,Fountain Pen Classic,Writing,2,48,0,81.6,Enterprise,Wholesale,F. Moreau,false
SO-101605,2023-01-21,NA,United States,Fountain Pen Brass,Writing,10,79,0.05,637.92,Enterprise,Online,E. Haddad,false
SO-101946,2023-01-21,MEA,South Africa,Calligraphy Starter Kit,Writing,3,58,0.05,140.51,Consumer,Retail,H. Silva,false
SO-102630,2023-01-21,LATAM,Argentina,Calligraphy Starter Kit,Writing,5,58,0,246.5,Small Business,Online,B. Lindqvist,false
SO-100874,2023-01-22,NA,Canada,Sticky Notes Pastel,Stationery,2,5.5,0,9.35,Consumer,Retail,H. Silva,false
SO-100983,2023-01-22,LATAM,Brazil,Pen Case Canvas,Accessories,5,22,0,93.5,Consumer,Online,A. Okafor,false
SO-101187,2023-01-22,NA,United States,Pen Case Canvas,Accessories,2,22,0,37.4,Small Business,Online,C. Nakamura,false
SO-101310,2023-01-22,EU,United Kingdom,Leather Journal Cover,Accessories,2,42,0,71.4,Consumer,Retail,B. Lindqvist,false
SO-101320,2023-01-22,LATAM,Brazil,Gel Pen 5-pack,Writing,1,9.9,0,8.42,Consumer,Online,D. Rossi,false
SO-102163,2023-01-22,LATAM,Brazil,Pen Case Canvas,Accessories,1,22,0,18.7,Small Business,Retail,C. Nakamura,false
SO-102170,2023-01-22,LATAM,Argentina,Ink Bottle Sepia 50ml,Ink,1,18,0,15.3,Consumer,Online,H. Silva,false
SO-103137,2023-01-22,APAC,Japan,Quill Notebook A4,Stationery,1,16,0.05,12.92,Consumer,Online,G. Patel,false
SO-103153,2023-01-22,LATAM,Chile,Planner 2024,Stationery,1,24,0,20.4,Consumer,Retail,H. Silva,false
SO-105319,2023-01-22,EU,Spain,Ink Bottle Sepia 50ml,Ink,2,18,0,30.6,Small Business,Online,H. Silva,false
SO-100023,2023-01-23,APAC,Australia,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Consumer,Online,B. Lindqvist,true
SO-103643,2023-01-23,EU,France,Leather Journal Cover,Accessories,2,42,0.05,67.83,Consumer,Online,A. Okafor,false
SO-103716,2023-01-23,NA,United States,Quill Notebook A5,Stationery,1,12.5,0.05,10.09,Enterprise,Wholesale,D. Rossi,false
SO-104633,2023-01-23,MEA,Kenya,Fountain Pen Brass,Writing,1,79,0,67.15,Consumer,Online,B. Lindqvist,false
SO-100660,2023-01-24,EU,Germany,Desk Mat Linen,Desk,1,34,0,28.9,Small Business,Retail,C. Nakamura,false
SO-102111,2023-01-24,MEA,Kenya,Gel Pen 5-pack,Writing,2,9.9,0.05,15.99,Small Business,Retail,G. Patel,false
SO-102176,2023-01-24,APAC,Australia,Leather Journal Cover,Accessories,2,42,0,71.4,Small Business,Online,G. Patel,false
SO-103030,2023-01-24,MEA,Kenya,Pen Stand Walnut,Desk,1,29,0.1,22.19,Consumer,Online,C. Nakamura,false
SO-103454,2023-01-24,EU,France,Gel Pen 5-pack,Writing,2,9.9,0.1,15.15,Consumer,Wholesale,C. Nakamura,false
SO-103535,2023-01-24,NA,Mexico,Planner 2024,Stationery,1,24,0.05,19.38,Consumer,Retail,H. Silva,false
SO-104581,2023-01-24,NA,United States,Fountain Pen Brass,Writing,2,79,0.05,127.59,Small Business,Online,G. Patel,false
SO-102399,2023-01-25,MEA,Kenya,Leather Journal Cover,Accessories,10,42,0.05,339.15,Consumer,Retail,C. Nakamura,false
SO-103009,2023-01-25,APAC,Australia,Pen Case Canvas,Accessories,3,22,0,56.1,Enterprise,Online,G. Patel,false
SO-103398,2023-01-25,EU,France,Quill Notebook A4,Stationery,1,16,0.2,10.88,Consumer,Retail,F. Moreau,false
SO-103885,2023-01-25,NA,Mexico,Leather Journal Cover,Accessories,1,42,0.1,32.13,Consumer,Online,D. Rossi,false
SO-100490,2023-01-26,EU,France,Calligraphy Starter Kit,Writing,10,58,0,493,Small Business,Online,B. Lindqvist,false
SO-102197,2023-01-26,NA,Mexico,Quill Notebook A4,Stationery,1,16,0,13.6,Consumer,Online,G. Patel,false
SO-104046,2023-01-26,LATAM,Brazil,Monitor Riser Oak,Desk,1,64,0,54.4,Consumer,Online,E. Haddad,false
SO-105240,2023-01-26,MEA,United Arab Emirates,Leather Journal Cover,Accessories,1,42,0.05,33.92,Consumer,Online,H. Silva,false
SO-100251,2023-01-27,APAC,Australia,Quill Notebook A5,Stationery,1,12.5,0,10.63,Small Business,Retail,A. Okafor,false
SO-100444,2023-01-27,MEA,Kenya,Gel Pen 5-pack,Writing,3,9.9,0.05,23.98,Consumer,Retail,H. Silva,false
SO-101525,2023-01-27,MEA,United Arab Emirates,Monitor Riser Oak,Desk,3,64,0.05,155.04,Small Business,Online,G. Patel,true
SO-102853,2023-01-27,APAC,Singapore,Leather Journal Cover,Accessories,2,42,0,71.4,Small Business,Retail,H. Silva,false
SO-103285,2023-01-27,EU,France,Planner 2024,Stationery,1,24,0,20.4,Small Business,Retail,D. Rossi,false
SO-105216,2023-01-27,MEA,South Africa,Quill Notebook A4,Stationery,3,16,0,40.8,Consumer,Retail,D. Rossi,false
SO-105687,2023-01-27,NA,United States,Fountain Pen Brass,Writing,2,79,0.2,107.44,Consumer,Online,H. Silva,false
SO-105730,2023-01-27,MEA,Kenya,Fountain Pen Classic,Writing,3,48,0,122.4,Small Business,Online,D. Rossi,false
SO-100036,2023-01-28,LATAM,Argentina,Sticky Notes Pastel,Stationery,1,5.5,0.05,4.44,Enterprise,Wholesale,G. Patel,false
SO-100170,2023-01-28,APAC,Singapore,Pen Case Canvas,Accessories,2,22,0.1,33.66,Small Business,Online,D. Rossi,false
SO-100263,2023-01-28,EU,Spain,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Consumer,Online,G. Patel,false
SO-100625,2023-01-28,APAC,Japan,Pen Case Canvas,Accessories,5,22,0,93.5,Small Business,Retail,A. Okafor,false
SO-101417,2023-01-28,MEA,United Arab Emirates,Leather Journal Cover,Accessories,2,42,0,71.4,Consumer,Online,A. Okafor,false
SO-101438,2023-01-28,EU,United Kingdom,Desk Mat Linen,Desk,2,34,0.05,54.91,Consumer,Retail,H. Silva,false
SO-103073,2023-01-28,LATAM,Chile,Sticky Notes Pastel,Stationery,2,5.5,0.1,8.42,Small Business,Online,A. Okafor,false
SO-103495,2023-01-28,LATAM,Argentina,Quill Notebook A4,Stationery,1,16,0,13.6,Consumer,Online,A. Okafor,false
